,round,hid_dim,weight_decay,lr,f1,distance,hp_id
112,2,128,0.01,0.01,0.25111889106655055,112657.53992336041,128_0.01_0.01
113,3,128,0.01,0.01,0.34807683524138294,109710.97023203825,128_0.01_0.01
114,4,128,0.01,0.01,0.31987266698432243,109569.1460037539,128_0.01_0.01
115,5,128,0.01,0.01,0.29449500195212985,109280.26198124312,128_0.01_0.01
116,6,128,0.01,0.01,0.243821894951324,111214.42305901411,128_0.01_0.01
117,7,128,0.01,0.01,0.27332246560176954,110880.10522309266,128_0.01_0.01
118,8,128,0.01,0.01,0.32873109010977564,110224.76193021458,128_0.01_0.01
119,9,128,0.01,0.01,0.2860608316411575,111985.7755142894,128_0.01_0.01
120,0,32,0.0,0.05,0.21390542963415352,114421.46196964817,32_0_0.05
121,1,32,0.0,0.05,0.32848536118242777,104090.14492652248,32_0_0.05
122,2,32,0.0,0.05,0.22872643494232747,115056.97118576607,32_0_0.05
123,3,32,0.0,0.05,0.20348992787645187,117751.46802824971,32_0_0.05
124,4,32,0.0,0.05,0.2892271038844824,101864.82858100857,32_0_0.05
125,5,32,0.0,0.05,0.3710754909111416,94721.47149301846,32_0_0.05
126,6,32,0.0,0.05,0.23171544429913762,111518.66467584236,32_0_0.05
127,7,32,0.0,0.05,0.2244906293309398,110720.45553921242,32_0_0.05
128,8,32,0.0,0.05,0.3088915890715891,106599.5397337897,32_0_0.05
129,9,32,0.0,0.05,0.24902242749279904,106227.93531770718,32_0_0.05
130,0,32,0.0001,0.05,0.19973484175492498,116654.82422410739,32_0.0001_0.05
131,1,32,0.0001,0.05,0.28432406179095626,103764.96165024654,32_0.0001_0.05
132,2,32,0.0001,0.05,0.2216492606949732,115425.47013180386,32_0.0001_0.05
133,3,32,0.0001,0.05,0.2559323504377328,111735.26036598194,32_0.0001_0.05
134,4,32,0.0001,0.05,0.3135748323754532,104751.69154988311,32_0.0001_0.05
135,5,32,0.0001,0.05,0.1986432134506893,110535.32712232713,32_0.0001_0.05
136,6,32,0.0001,0.05,0.42033684757285267,94874.82607528177,32_0.0001_0.05
137,7,32,0.0001,0.05,0.30563074530337037,102312.78352440018,32_0.0001_0.05
138,8,32,0.0001,0.05,0.2594245582966957,110701.83510809984,32_0.0001_0.05
139,9,32,0.0001,0.05,0.2331404111224164,107428.30193412631,32_0.0001_0.05
140,0,32,0.001,0.05,0.35383774707353294,98593.86063425842,32_0.001_0.05
141,1,32,0.001,0.05,0.40498221140564794,99096.06096067665,32_0.001_0.05
142,2,32,0.001,0.05,0.3341204345632916,103934.2935592956,32_0.001_0.05
143,3,32,0.001,0.05,0.34867177501313795,103359.88544933726,32_0.001_0.05
144,4,32,0.001,0.05,0.284564048536077,107903.99137859748,32_0.001_0.05
145,5,32,0.001,0.05,0.3783359341833642,101899.54234452976,32_0.001_0.05
146,6,32,0.001,0.05,0.35813422807649414,100983.90498745647,32_0.001_0.05
147,7,32,0.001,0.05,0.31967310631377227,104114.70119371657,32_0.001_0.05
148,8,32,0.001,0.05,0.4263297023162099,99090.2534722726,32_0.001_0.05
149,9,32,0.001,0.05,0.30497725832403727,107745.92415646854,32_0.001_0.05
150,0,32,0.01,0.05,0.371589572990983,116550.46177628344,32_0.01_0.05
151,1,32,0.01,0.05,0.2870337675684578,112051.51393702606,32_0.01_0.05
152,2,32,0.01,0.05,0.3163791820815008,109014.26664881737,32_0.01_0.05
153,3,32,0.01,0.05,0.2279705811636751,114007.50591229941,32_0.01_0.05
154,4,32,0.01,0.05,0.3509376667440419,111848.16159482396,32_0.01_0.05
155,5,32,0.01,0.05,0.27720604537841936,115243.77663587527,32_0.01_0.05
156,6,32,0.01,0.05,0.3032966846952915,114771.790187393,32_0.01_0.05
157,7,32,0.01,0.05,0.33532221583685307,114078.91893705515,32_0.01_0.05
158,8,32,0.01,0.05,0.33608255343101684,109834.61767186089,32_0.01_0.05
159,9,32,0.01,0.05,0.2754890291044645,111276.62862769545,32_0.01_0.05
160,0,64,0.0,0.05,0.1370400949227448,122362.17871569982,64_0_0.05
161,1,64,0.0,0.05,0.3574432501852514,96174.58404417883,64_0_0.05
162,2,64,0.0,0.05,0.11661317217924255,116640.76437921335,64_0_0.05
163,3,64,0.0,0.05,0.15711058667428532,118977.98994547257,64_0_0.05
164,4,64,0.0,0.05,0.22706321583949962,114876.98205906586,64_0_0.05
165,5,64,0.0,0.05,0.3559718236581328,95226.5868874832,64_0_0.05
166,6,64,0.0,0.05,0.20141041119032285,115479.34192012214,64_0_0.05
167,7,64,0.0,0.05,0.3910525493195756,95736.18993074972,64_0_0.05
168,8,64,0.0,0.05,0.2530142875899558,111745.80562379662,64_0_0.05
169,9,64,0.0,0.05,0.2169519662058733,111522.09136239487,64_0_0.05
170,0,64,0.0001,0.05,0.3977239837119851,94940.50348768085,64_0.0001_0.05
171,1,64,0.0001,0.05,0.22451482167065212,118523.5811149904,64_0.0001_0.05
172,2,64,0.0001,0.05,0.37990552407345324,98090.62928598655,64_0.0001_0.05
173,3,64,0.0001,0.05,0.3079016217657161,105984.61663612464,64_0.0001_0.05
174,4,64,0.0001,0.05,0.39864379487492124,96747.44424483081,64_0.0001_0.05
175,5,64,0.0001,0.05,0.18700155431569343,117485.99014020208,64_0.0001_0.05
176,6,64,0.0001,0.05,0.19179809039041357,117105.84782382853,64_0.0001_0.05
177,7,64,0.0001,0.05,0.21248463687602182,119848.25501137819,64_0.0001_0.05
178,8,64,0.0001,0.05,0.40570687311338277,94356.8170878377,64_0.0001_0.05
179,9,64,0.0001,0.05,0.22065998170207005,110355.23687131856,64_0.0001_0.05
180,0,64,0.001,0.05,0.3230150696896508,107109.31011517807,64_0.001_0.05
181,1,64,0.001,0.05,0.39310290717195445,101482.13862579082,64_0.001_0.05
182,2,64,0.001,0.05,0.2997968192545484,106173.5495203508,64_0.001_0.05
183,3,64,0.001,0.05,0.37175926077885224,100616.73775663343,64_0.001_0.05
184,4,64,0.001,0.05,0.41442096821934976,99953.57088166039,64_0.001_0.05
185,5,64,0.001,0.05,0.3644355097070053,102934.74073658964,64_0.001_0.05
186,6,64,0.001,0.05,0.3146453730409494,107543.9782537972,64_0.001_0.05
187,7,64,0.001,0.05,0.43309604578993777,96707.04369141003,64_0.001_0.05
188,8,64,0.001,0.05,0.2618695306939115,111312.01185589677,64_0.001_0.05
189,9,64,0.001,0.05,0.3045486903622852,107454.26038969534,64_0.001_0.05
190,0,64,0.01,0.05,0.322370974864583,113949.37926585866,64_0.01_0.05
191,1,64,0.01,0.05,0.32021089977784795,113886.6854163068,64_0.01_0.05
192,2,64,0.01,0.05,0.33639773934563433,114735.05833616244,64_0.01_0.05
193,3,64,0.01,0.05,0.35491747533488277,115836.15532046845,64_0.01_0.05
194,4,64,0.01,0.05,0.3635984608058899,113648.56184965253,64_0.01_0.05
195,5,64,0.01,0.05,0.33560806327065495,113657.30627305232,64_0.01_0.05
196,6,64,0.01,0.05,0.33252240468260696,111627.23303684492,64_0.01_0.05
197,7,64,0.01,0.05,0.4202670795731671,114313.0647348019,64_0.01_0.05
198,8,64,0.01,0.05,0.3617936892246227,113115.06132397368,64_0.01_0.05
199,9,64,0.01,0.05,0.3386491728609587,112290.15752912653,64_0.01_0.05
200,0,128,0.0,0.05,0.22185271132085904,114659.13580062443,128_0_0.05
